"Reviews","Đánh giá"
"Reviews for %s","Đánh giá cho %s"
"Sales","Doanh số"
"Sales Report","Báo cáo doanh số"
"Search Query","Truy vấn tìm kiếm"
"Search Terms","Nhu cầu tìm kiếm"
"Select day of the month.","Chọn ngày của tháng."
"Shipping","Vận chuyển"
"Shopping Cart","Giỏ hàng"
"Shopping Cart Price Rule","Quy tắc giá của giỏ hàng"
"Show Actual Values","Hiển thị Giá trị thực tế"
"Show Report","Hiển thị báo cáo"
"Show for Current","Hiển thị cho hiện tại"
"Specified","Đã xác định"
"Statistics","Thống kê"
"Stock Qty","Số lượng hàng trong kho"
"Submitted In","Đã đăng lên trong"
"Submitted On","Đã đăng lên ở"
"Subtotal","Tổng số tiền"
"Tag","Tag"
"Tag ""%s"" details","Chi tiết tag ""%s"""
"Tag Detail","Chi tiết tag"
"Tag Name","Tên tag"
"Tag Use","Sử dụng tag"
"Tags Submitted by %s","Tags được đăng bởi %s"
"Tags submitted to %s","Tags được gửi đến %s"
"Tax","Thuế"
"Title","Tiêu đề"
"To","Đến"
"Total","Tổng cộng"
"Total Invoiced vs. Paid Report","Báo cáo tổng đơn hàng lập hóa đơn với đơn hàng đã thanh toán"
"Total Ordered Report","Báo cáo toàn bộ đơn hàng"
"Total Refunded Report","Báo cáo toàn bộ khoản hoàn lại"
"Total Shipped Report","Báo cáo toàn bộ việc giao hàng"
"Total Tags","Tổng số Thẻ"
"Total invoiced","Tổng hóa đơn"
"Total refunded","Tổng đã hoàn tiền"
"Updated At","Đã cập nhật vào"
"Viewed Products Grid Template","Mẫu sản phẩm đã xem dạng lưới"
"Viewed Products List Template","Mẫu danh sách sản phẩm đã xem"
"Visible In","Hiển thị trong"
"Wishlist Report","Báo cáo danh sách thích"
"Wishlist vs. Regular Order","Danh sách thích so với đơn hàng thường"
"Wishlists","Danh sách thích"
"Year","Năm"
"Year-To-Date Starts","Bắt đầu từ năm đến ngày"
"Yes","Có"
"Your Recently Compared","So sánh gần đây của bạn"
"Your Recently Viewed",Đã xem gần đây của bạn"
"undefined","Không xác định được"
